id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
552,245,152,"Apt, Jerome","Apt, Jerome",male,-0.2347754614492749,USA,civilian,NASA- 11,-0.04821202133698312,1,0.7264896153498263,msp,1991,STS-37,STS-37,STS-37,STS-37,143.5,-0.5035150516605601,2,10.82,0.003653006998880086,"Apt, Jerome",0.23477546144926995,1940,1980,0.45712513956250383,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
553,245,152,"Apt, Jerome","Apt, Jerome",male,-0.2347754614492749,USA,civilian,NASA- 11,-0.04821202133698312,2,0.7264896153498263,msp,1992,STS-47,STS-47,STS-47,STS-47,190.5,-0.5035150516605601,0,0.0,0.003653006998880086,"Apt, Jerome",0.23477546144926995,1940,1980,0.45712513956250383,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
554,245,152,"Apt, Jerome","Apt, Jerome",male,-0.2347754614492749,USA,civilian,NASA- 11,-0.04821202133698312,3,0.7264896153498263,msp,1994,STS-59,STS-59,STS-59,STS-59,270.0,-0.5035150516605601,0,0.0,0.003653006998880086,"Apt, Jerome",0.23477546144926995,1940,1980,0.45712513956250383,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
555,245,152,"Apt, Jerome","Apt, Jerome",male,-0.2347754614492749,USA,civilian,NASA- 11,-0.04821202133698312,4,0.7264896153498263,msp,1996,STS-79,STS-79,STS-79,STS-79,243.0,-0.5035150516605601,0,0.0,0.003653006998880086,"Apt, Jerome",0.23477546144926995,1940,1980,0.45712513956250383,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
556,246,153,"Hammond, L. Blaine, Jr.","Hammond, L. Blaine, Jr.",male,0.027677060526842268,USA,military,NASA Astronaut Group 10,-0.13008270118715007,1,-0.7018818069776996,pilot,1991,STS-39,STS-39,STS-39,STS-39,199.0,-0.5951348206735411,0,0.0,-0.6709541718905475,"Hammond, L. Blaine, Jr.",-0.02767706052684724,1950,1980,-0.4157702671235775,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,110.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
557,246,153,"Hammond, L. Blaine, Jr.","Hammond, L. Blaine, Jr.",male,0.027677060526842268,USA,military,NASA Astronaut Group 11,-0.13008270118715007,2,-0.7018818069776996,pilot,1994,STS-64,STS-64,STS-64,STS-64,262.0,-0.5951348206735411,0,0.0,-0.6709541718905475,"Hammond, L. Blaine, Jr.",-0.02767706052684724,1950,1980,-0.4157702671235775,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,111.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
558,247,154,"Harbaugh, Gregory J.","Harbaugh, Gregory J.",male,0.3776137564949985,USA,civilian,NASA Astronaut Group 12,0.11552933836335079,1,0.7264896153498263,msp,1991,STS-39,STS-39,STS-39,STS-39,199.0,-0.5108731160113436,0,0.0,0.48186345635950006,"Harbaugh, Gregory J.",-0.3776137564950035,1950,1980,-0.6339941187950978,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,112.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
559,247,154,"Harbaugh, Gregory J.","Harbaugh, Gregory J.",male,0.3776137564949985,USA,civilian,NASA Astronaut Group 13,0.11552933836335079,2,0.7264896153498263,msp,1993,STS-54,STS-54,STS-54,STS-54,143.0,-0.5108731160113436,1,4.47,0.48186345635950006,"Harbaugh, Gregory J.",-0.3776137564950035,1950,1980,-0.6339941187950978,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,113.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
560,247,154,"Harbaugh, Gregory J.","Harbaugh, Gregory J.",male,0.3776137564949985,USA,civilian,NASA Astronaut Group 14,0.11552933836335079,3,0.7264896153498263,msp,1995,STS-71,STS-71,STS-71,STS-71,235.0,-0.5108731160113436,0,0.0,0.48186345635950006,"Harbaugh, Gregory J.",-0.3776137564950035,1950,1980,-0.6339941187950978,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,114.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
561,247,154,"Harbaugh, Gregory J.","Harbaugh, Gregory J.",male,0.3776137564949985,USA,civilian,NASA Astronaut Group 15,0.11552933836335079,4,0.7264896153498263,msp,1997,STS-82,STS-82,STS-82,STS-82,239.0,-0.5108731160113436,2,14.02,0.48186345635950006,"Harbaugh, Gregory J.",-0.3776137564950035,1950,1980,-0.6339941187950978,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,115.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
562,248,155,"McMonagle, Donald R.","McMonagle, Donald R.",male,0.027677060526842268,USA,military,NASA- 12,0.11552933836335079,1,0.01230390418606333,msp,1991,STS-39,STS-39,STS-39,STS-39,199.0,-0.5611927818941207,0,0.0,-0.6709541718905475,"McMonagle, Donald R.",-0.02767706052684724,1950,1980,0.2389012878909835,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,2.0,131.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
563,248,155,"McMonagle, Donald R.","McMonagle, Donald R.",male,0.027677060526842268,USA,military,NASA- 12,0.11552933836335079,2,0.01230390418606333,pilot,1993,STS-54,STS-54,STS-54,STS-54,143.0,-0.5611927818941207,0,0.0,-0.6709541718905475,"McMonagle, Donald R.",-0.02767706052684724,1950,1980,0.2389012878909835,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,131.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
564,248,155,"McMonagle, Donald R.","McMonagle, Donald R.",male,0.027677060526842268,USA,military,NASA- 12,0.11552933836335079,3,0.01230390418606333,commander,1994,STS-66,STS-66,STS-66,STS-66,262.0,-0.5611927818941207,0,0.0,-0.6709541718905475,"McMonagle, Donald R.",-0.02767706052684724,1950,1980,0.2389012878909835,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,131.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
565,249,155,"Veach, Charles Lacy","Veach, Charles Lacy",male,-0.6721963314094702,USA,civilian,1984 NASA group 10,-0.13008270118715007,1,-0.7018818069776996,msp,1991,STS-39,STS-39,STS-39,STS-39,192.0,-0.6009975364627136,0,0.0,-0.6709541718905475,"Veach, Charles Lacy",0.6721963314094652,1940,1980,1.3300205462485852,1,0,0,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,0.0,2.0,30.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
566,249,155,"Veach, Charles Lacy","Veach, Charles Lacy",male,-0.6721963314094702,USA,civilian,1984 NASA group 10,-0.13008270118715007,2,-0.7018818069776996,msp,1992,STS-52,STS-52,STS-52,STS-52,240.0,-0.6009975364627136,0,0.0,-0.6709541718905475,"Veach, Charles Lacy",0.6721963314094652,1940,1980,1.3300205462485852,1,0,0,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,0.0,2.0,30.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
567,250,157,"Hieb, Richard J.","Hieb, Richard J.",male,0.29012958250295945,USA,civilian,NASA- 11,-0.04821202133698312,1,0.01230390418606333,msp,1991,STS-39,STS-39,STS-39,STS-39,199.0,-0.522978318652955,0,0.0,0.4326084035570373,"Hieb, Richard J.",-0.29012958250296444,1950,1980,-0.8522179704666182,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
568,250,157,"Hieb, Richard J.","Hieb, Richard J.",male,0.29012958250295945,USA,civilian,NASA- 12,-0.04821202133698312,2,0.01230390418606333,msp,1992,STS-49,STS-49,STS-49,STS-49,213.0,-0.522978318652955,3,17.7,0.4326084035570373,"Hieb, Richard J.",-0.29012958250296444,1950,1980,-0.8522179704666182,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,131.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
569,250,157,"Hieb, Richard J.","Hieb, Richard J.",male,0.29012958250295945,USA,civilian,NASA- 13,-0.04821202133698312,3,0.01230390418606333,msp,1994,STS-65,STS-65,STS-65,STS-65,353.0,-0.522978318652955,0,0.0,0.4326084035570373,"Hieb, Richard J.",-0.29012958250296444,1950,1980,-0.8522179704666182,1,0,0,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,0.0,2.0,132.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
570,251,71,"Artsebarsky, Anatoly",Анатолий Павлович Арцебарский,male,0.3776137564949985,Russia,military,GKNII-2 / RAN-5 / TsPK-9,-0.04821202133698312,1,-1.4160675181414626,commander,1991,9,Soyuz TM­12,Mir,Soyuz TM­12,3471.0,0.11939256701616707,6,32.28,1.3416446945189462,"Artsebarsky, Anatoly",-0.3776137564950035,1950,1980,-1.0704418221381384,1,0,1,0,Single,1,Medium,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,83.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
571,252,1,Helen Sharman,Helen Sharman,female,0.990002974439272,U.K.,civilian,1989 Juno,0.2792706980636847,1,-1.4160675181414626,msp,1991,Soyuz TM-12/11,Soyuz TM-12,Soyuz TM-12,Soyuz TM-11,189.22,-0.6596436829076032,0,0.0,-0.6709541718905475,Helen Sharman,-0.9900029744392769,1960,1980,-1.7251133771526994,0,1,0,0,Single,0,No_EVA,Medium,Other,0,0,0,0,0,34.0,0.0,2.0,36.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
572,253,158,"Gutierrez, Sidney M.","Gutierrez, Sidney M.",male,-0.05980711346519679,USA,military,NASA Astronaut Group 10,-0.13008270118715007,1,-0.7018818069776996,msp,1991,STS-40,STS-40,STS-40,STS-40,218.0,-0.5889635408954647,0,0.0,-0.6709541718905475,"Gutierrez, Sidney M.",0.059807113465191825,1950,1980,-0.19754641545205714,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,2.0,110.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
573,253,158,"Gutierrez, Sidney M.","Gutierrez, Sidney M.",male,-0.05980711346519679,USA,military,NASA Astronaut Group 11,-0.13008270118715007,2,-0.7018818069776996,commander,1994,STS-59,STS-59,STS-59,STS-59,269.0,-0.5889635408954647,0,0.0,-0.6709541718905475,"Gutierrez, Sidney M.",0.059807113465191825,1950,1980,-0.19754641545205714,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,111.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
574,254,159,"Jernigan, Tamara E.","Jernigan, Tamara E.",female,0.6400662784711157,USA,civilian,NASA- 11,-0.04821202133698312,1,1.4406753265135892,msp,1991,STS-40,STS-40,STS-40,STS-40,218.0,-0.34591006040506944,0,0.0,-0.17715668050383157,"Jernigan, Tamara E.",-0.6400662784711206,1950,1980,-1.7251133771526994,0,1,0,1,Multiple,1,Short,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
575,254,159,"Jernigan, Tamara E.","Jernigan, Tamara E.",female,0.6400662784711157,USA,civilian,NASA- 12,-0.04821202133698312,2,1.4406753265135892,msp,1992,STS-52,STS-52,STS-52,STS-52,236.0,-0.34591006040506944,0,0.0,-0.17715668050383157,"Jernigan, Tamara E.",-0.6400662784711206,1950,1980,-1.7251133771526994,0,1,0,1,Multiple,1,Short,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,131.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
576,254,159,"Jernigan, Tamara E.","Jernigan, Tamara E.",female,0.6400662784711157,USA,civilian,NASA- 13,-0.04821202133698312,3,1.4406753265135892,msp,1995,STS-67,STS-67,STS-67,STS-67,399.0,-0.34591006040506944,0,0.0,-0.17715668050383157,"Jernigan, Tamara E.",-0.6400662784711206,1950,1980,-1.7251133771526994,0,1,0,1,Multiple,1,Short,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,132.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
577,254,159,"Jernigan, Tamara E.","Jernigan, Tamara E.",female,0.6400662784711157,USA,civilian,NASA- 14,-0.04821202133698312,4,1.4406753265135892,msp,1996,STS-80,STS-80,STS-80,STS-80,423.0,-0.34591006040506944,0,0.0,-0.17715668050383157,"Jernigan, Tamara E.",-0.6400662784711206,1950,1980,-1.7251133771526994,0,1,0,1,Multiple,1,Short,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,133.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
578,254,159,"Jernigan, Tamara E.","Jernigan, Tamara E.",female,0.6400662784711157,USA,civilian,NASA- 15,-0.04821202133698312,5,1.4406753265135892,msp,1999,STS-96,STS-96,STS-96,STS-96,235.0,-0.34591006040506944,1,7.92,-0.17715668050383157,"Jernigan, Tamara E.",-0.6400662784711206,1950,1980,-1.7251133771526994,0,1,0,1,Multiple,1,Short,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,134.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
579,255,160,"Gaffney, Andrew","Gaffney, Andrew",male,-0.4972279834253921,USA,civilian,Spacelab-4 / SLS-1,-0.13008270118715007,1,-1.4160675181414626,psp,1991,STS-40,STS-40,STS-40,STS-40,218.0,-0.6528125509071017,0,0.0,-0.6709541718905475,"Gaffney, Andrew",0.4972279834253871,1940,1980,0.8935728429055445,1,0,0,0,Single,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,0.0,6.0,196.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
580,256,161,"Hughes-Fulford, Millie Elizabeth","Hughes-Fulford, Millie Elizabeth",female,-0.5847121574174312,USA,civilian,NASA PS,-0.21195338103731703,1,-1.4160675181414626,psp,1991,STS-40,STS-40,STS-40,STS-40,218.37,-0.6527247288487213,0,0.0,-0.6709541718905475,"Hughes-Fulford, Millie Elizabeth",0.5847121574174262,1940,1980,0.8935728429055445,0,1,0,0,Single,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,0.0,6.0,127.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
581,257,162,"Baker, Michael A.","Baker, Michael A.",male,0.11516123451888133,USA,military,NASA- 11,-0.04821202133698312,1,0.7264896153498263,pilot,1991,STS-43,STS-43,STS-43,STS-43,213.0,-0.4755069357446747,0,0.0,-0.6709541718905475,"Baker, Michael A.",-0.1151612345188863,1950,1980,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
582,257,162,"Baker, Michael A.","Baker, Michael A.",male,0.11516123451888133,USA,military,NASA- 11,-0.04821202133698312,2,0.7264896153498263,pilot,1992,STS-52,STS-52,STS-52,STS-52,237.0,-0.4755069357446747,0,0.0,-0.6709541718905475,"Baker, Michael A.",-0.1151612345188863,1950,1980,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
583,257,162,"Baker, Michael A.","Baker, Michael A.",male,0.11516123451888133,USA,military,NASA- 11,-0.04821202133698312,3,0.7264896153498263,commander,1994,STS-68,STS-68,STS-68,STS-68,270.0,-0.4755069357446747,0,0.0,-0.6709541718905475,"Baker, Michael A.",-0.1151612345188863,1950,1980,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
584,257,162,"Baker, Michael A.","Baker, Michael A.",male,0.11516123451888133,USA,military,NASA- 11,-0.04821202133698312,4,0.7264896153498263,commander,1997,STS-81,STS-81,STS-81,STS-81,245.0,-0.4755069357446747,0,0.0,-0.6709541718905475,"Baker, Michael A.",-0.1151612345188863,1950,1980,-0.4157702671235775,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
585,258,163,"Reightler, Kenneth S., Jr.","Reightler, Kenneth S., Jr.",male,-0.05980711346519679,USA,military,NASA-12,0.11552933836335079,1,-0.7018818069776996,pilot,1991,STS-48,STS-48,STS-48,STS-48,120.0,-0.6305010009402099,0,0.0,-0.6709541718905475,"Reightler, Kenneth S., Jr.",0.059807113465191825,1950,1980,0.45712513956250383,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,148.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
586,258,163,"Reightler, Kenneth S., Jr.","Reightler, Kenneth S., Jr.",male,-0.05980711346519679,USA,military,NASA-12,0.11552933836335079,2,-0.7018818069776996,pilot,1994,STS-60,STS-60,STS-60,STS-60,192.0,-0.6305010009402099,0,0.0,-0.6709541718905475,"Reightler, Kenneth S., Jr.",0.059807113465191825,1950,1980,0.45712513956250383,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,148.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
587,259,72,"Aubakirov, Toktar",Тоқтар Оңғарбайұлы Әубәкіров,male,-0.4972279834253921,Russia,military,Kazakhstan,0.4430120577640186,1,-1.4160675181414626,msp,1991,10,Soyuz TM­13,Mir,Soyuz TM­12,190.0,-0.6594110731313526,0,0.0,-0.6709541718905475,"Aubakirov, Toktar",0.4972279834253871,1940,1990,2.4211398046061867,1,0,1,0,Single,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,2.0,91.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
588,260,1,"Viehbock, Franz","Viehbock, Franz",male,0.7275504524631548,Austria,civilian,Austria,0.2792706980636847,1,-1.4160675181414626,msp,1991,Soyuz TM13/12,Soyuz TM13,Soyuz TM13,Soyuz TM12,190.2,-0.6594110731313526,0,0.0,-0.6709541718905475,"Viehbock, Franz",-0.7275504524631597,1960,1980,-1.0704418221381384,1,0,0,0,Single,0,No_EVA,Medium,Other,0,0,0,0,0,2.0,0.0,2.0,65.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
589,261,164,"Henricks, Terence T.","Henricks, Terence T.",male,0.027677060526842268,USA,military,NASA- 11,-0.04821202133698312,1,0.7264896153498263,pilot,1991,STS-44,STS-44,STS-44,STS-44,166.0,-0.6592805268283548,0,0.0,-0.6709541718905475,"Henricks, Terence T.",-0.02767706052684724,1950,1980,-0.19754641545205714,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,130.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
590,261,164,"Henricks, Terence T.","Henricks, Terence T.",male,0.027677060526842268,USA,military,NASA- 12,-0.04821202133698312,2,0.7264896153498263,pilot,1993,STS-55,STS-55,STS-55,STS-55,239.0,-0.6592805268283548,0,0.0,-0.6709541718905475,"Henricks, Terence T.",-0.02767706052684724,1950,1980,-0.19754641545205714,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,131.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
591,261,164,"Henricks, Terence T.","Henricks, Terence T.",male,0.027677060526842268,USA,military,NASA- 13,-0.04821202133698312,3,0.7264896153498263,commander,1995,STS-70,STS-70,STS-70,STS-70,214.0,-0.6592805268283548,0,0.0,-0.6709541718905475,"Henricks, Terence T.",-0.02767706052684724,1950,1980,-0.19754641545205714,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,132.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
592,261,164,"Henricks, Terence T.","Henricks, Terence T.",male,0.027677060526842268,USA,military,NASA- 14,-0.04821202133698312,4,0.7264896153498263,commander,1996,STS-78,STS-78,STS-78,STS-78,405.0,-0.6592805268283548,0,0.0,-0.6709541718905475,"Henricks, Terence T.",-0.02767706052684724,1950,1980,-0.19754641545205714,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,133.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
593,262,165,"Voss, James S.","Voss, James S.",male,-0.2347754614492749,USA,military,1987 NASA group,0.11552933836335079,1,1.4406753265135892,msp,1991,STS-44,STS-44,STS-44,STS-44,166.0,-0.46719944373572564,0,0.0,0.7680415479586195,"Voss, James S.",0.23477546144926995,1940,1980,0.8935728429055445,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,2.0,34.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
594,262,165,"Voss, James S.","Voss, James S.",male,-0.2347754614492749,USA,military,1987 NASA group,0.11552933836335079,2,1.4406753265135892,msp,1992,STS-53,STS-53,STS-53,STS-53,175.0,-0.46719944373572564,0,0.0,0.7680415479586195,"Voss, James S.",0.23477546144926995,1940,1980,0.8935728429055445,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,2.0,34.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
595,262,165,"Voss, James S.","Voss, James S.",male,-0.2347754614492749,USA,military,1987 NASA group,0.11552933836335079,3,1.4406753265135892,msp,1995,STS-69,STS-69,STS-69,STS-69,260.0,-0.46719944373572564,1,6.77,0.7680415479586195,"Voss, James S.",0.23477546144926995,1940,1980,0.8935728429055445,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,2.0,34.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
596,262,165,"Voss, James S.","Voss, James S.",male,-0.2347754614492749,USA,military,1987 NASA group,0.11552933836335079,4,1.4406753265135892,msp,2000,STS-101,STS-101,STS-101,STS-101,236.0,-0.46719944373572564,1,6.73,0.7680415479586195,"Voss, James S.",0.23477546144926995,1940,1980,0.8935728429055445,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,2.0,34.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
597,262,165,"Voss, James S.","Voss, James S.",male,-0.2347754614492749,USA,military,1987 NASA group,0.11552933836335079,5,1.4406753265135892,msp,2001,2,STS-102,ISS,STS-105,163.0,-0.46719944373572564,2,9.58,0.7680415479586195,"Voss, James S.",0.23477546144926995,1940,1980,0.8935728429055445,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,2.0,34.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
598,263,166,"Runco, Mario, Jr.","Runco, Mario, Jr.",male,0.027677060526842268,USA,military,NASA-12,0.11552933836335079,1,0.01230390418606333,msp,1991,STS-44,STS-44,STS-44,STS-44,166.0,-0.5742474121938977,0,0.0,-0.39225786046395406,"Runco, Mario, Jr.",-0.02767706052684724,1950,1980,0.2389012878909835,1,0,1,1,Multiple,1,Short,Long,USA,0,0,0,0,0,38.0,1.0,2.0,148.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
599,263,166,"Runco, Mario, Jr.","Runco, Mario, Jr.",male,0.027677060526842268,USA,military,NASA-12,0.11552933836335079,2,0.01230390418606333,msp,1993,STS-54,STS-54,STS-54,STS-54,143.0,-0.5742474121938977,1,4.47,-0.39225786046395406,"Runco, Mario, Jr.",-0.02767706052684724,1950,1980,0.2389012878909835,1,0,1,1,Multiple,1,Short,Long,USA,0,0,0,0,0,38.0,1.0,2.0,148.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
600,263,166,"Runco, Mario, Jr.","Runco, Mario, Jr.",male,0.027677060526842268,USA,military,NASA-12,0.11552933836335079,3,0.01230390418606333,msp,1996,STS-77,STS-77,STS-77,STS-77,240.0,-0.5742474121938977,0,0.0,-0.39225786046395406,"Runco, Mario, Jr.",-0.02767706052684724,1950,1980,0.2389012878909835,1,0,1,1,Multiple,1,Short,Long,USA,0,0,0,0,0,38.0,1.0,2.0,148.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
601,264,167,"Hennen, Thomas John","Hennen, Thomas John",male,0.027677060526842268,USA,military,Terra Scout,0.19740001821351774,1,-1.4160675181414626,psp,1991,STS-44,STS-44,STS-44,STS-44,167.11,-0.6648916442881135,0,0.0,-0.6709541718905475,"Hennen, Thomas John",-0.02767706052684724,1950,1980,0.45712513956250383,1,0,1,0,Single,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,6.0,199.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
602,265,168,"Oswald, Stephen S.","Oswald, Stephen S.",male,-0.05980711346519679,USA,military,NASA-11,-0.04821202133698312,1,0.01230390418606333,pilot,1992,STS-42,STS-42,STS-42,STS-42,193.0,-0.5113478298404264,0,0.0,-0.6709541718905475,"Oswald, Stephen S.",0.059807113465191825,1950,1980,0.02067743621946318,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,147.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
