id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
431,201,122,"Jarvis, Gregory Bruce","Jarvis, Gregory Bruce",male,-0.6721963314094702,USA,civilian,PS by SAL,-0.13008270118715007,1,-1.4160675181414626,psp,1986,STS-51L,STS-51L,explosion,explosion,0.61,-0.7044115705592568,0,0.0,-0.6709541718905475,"Jarvis, Gregory Bruce",0.6721963314094652,1940,1980,1.3300205462485852,1,0,0,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,0.0,6.0,174.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
432,202,123,"McAuliffe, Sharon Christa Corrigan","McAuliffe, Sharon Christa Corrigan",female,-0.322259635441314,USA,civilian,1985 Teacher in Space,-0.04821202133698312,1,-1.4160675181414626,psp,1986,STS-51L,STS-51L,explosion,explosion,0.61,-0.7044115705592568,0,0.0,-0.6709541718905475,"McAuliffe, Sharon Christa Corrigan",0.322259635441309,1940,1980,0.6753489912340241,0,1,0,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,0.0,6.0,33.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
433,203,61,"Laveykin, Aleksandr",Александр Иванович Лавейкин,male,-0.05980711346519679,Russia,civilian,NPOE-4,-0.6213067802881518,1,-1.4160675181414626,flight engineer,1987,2,Soyuz TM­2,Mir,Soyuz TM­2,4179.0,0.2874578774954973,3,8.8,-0.1222902925719742,"Laveykin, Aleksandr",0.059807113465191825,1950,1970,-1.5068895254811792,1,0,0,0,Single,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,167.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
434,204,62,"Viktorenko, Aleksandr",Александр Степанович Викторенко,male,-0.40974380943335303,Russia,military,TsPK-7,-0.6213067802881518,1,0.7264896153498263,commander,1987,1,Soyuz TM­3,Mir EP,Soyuz TM­2,191.0,2.0814322939983003,0,0.0,0.5541873313605847,"Viktorenko, Aleksandr",0.40974380943334804,1940,1970,-0.6339941187950978,1,0,1,1,Multiple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,0.0,218.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
435,204,62,"Viktorenko, Aleksandr",Александр Степанович Викторенко,male,-0.40974380943335303,Russia,military,TsPK-7,-0.6213067802881518,2,0.7264896153498263,commander,1990,5,Soyuz TM­8,Mir,Soyuz TM­8,3990.0,2.0814322939983003,5,17.6,0.5541873313605847,"Viktorenko, Aleksandr",0.40974380943334804,1940,1970,-0.6339941187950978,1,0,1,1,Multiple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,0.0,218.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
436,204,62,"Viktorenko, Aleksandr",Александр Степанович Викторенко,male,-0.40974380943335303,Russia,military,TsPK-7,-0.6213067802881518,3,0.7264896153498263,commander,1992,11,Soyuz TM­14,Mir,Soyuz TM­14,3494.0,2.0814322939983003,1,2.05,0.5541873313605847,"Viktorenko, Aleksandr",0.40974380943334804,1940,1970,-0.6339941187950978,1,0,1,1,Multiple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,0.0,218.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
437,204,62,"Viktorenko, Aleksandr",Александр Степанович Викторенко,male,-0.40974380943335303,Russia,military,TsPK-7,-0.6213067802881518,4,0.7264896153498263,commander,1994,17,Soyuz TM­20,Mir,Soyuz TM­20,4061.0,2.0814322939983003,0,0.0,0.5541873313605847,"Viktorenko, Aleksandr",0.40974380943334804,1940,1970,-0.6339941187950978,1,0,1,1,Multiple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,0.0,218.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
438,205,1,"Faris, M. Achmed",,male,-0.05980711346519679,Syria,military,Syria,-0.04821202133698312,1,-1.4160675181414626,msp,1987,1,Soyuz TM-3,Mir EP,Soyuz TM-2,191.0,-0.6592211875997195,0,0.0,-0.6709541718905475,"Faris, M. Achmed",0.059807113465191825,1950,1980,0.02067743621946318,1,0,1,0,Single,0,No_EVA,Medium,Other,0,0,0,0,0,33.0,1.0,2.0,197.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
439,206,63,"Manarov, Musa",Муса Хираманович Манаров,male,-0.05980711346519679,Russia,military,NPOE-4,-0.6213067802881518,1,-0.7018818069776996,flight engineer,1987,3,Soyuz TM­4,Mir,Soyuz TM­6,8782.0,2.377397377878265,3,13.78,1.4725758475381512,"Manarov, Musa",0.059807113465191825,1950,1970,-1.5068895254811792,1,0,1,1,Couple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,1.0,167.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
440,206,63,"Manarov, Musa",Муса Хираманович Манаров,male,-0.05980711346519679,Russia,military,NPOE-4,-0.6213067802881518,2,-0.7018818069776996,flight engineer,1990,8,Soyuz TM­11,Mir,Soyuz TM­11,4201.0,2.377397377878265,4,20.75,1.4725758475381512,"Manarov, Musa",0.059807113465191825,1950,1970,-1.5068895254811792,1,0,1,1,Couple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,1.0,167.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
441,207,64,"Levchenko, Anatoli",Левченко Анатолий Семёнович,male,-0.9346488533855875,Russia,military,LII-1,-0.7031774601383187,1,-1.4160675181414626,msp,1987,Soyuz TM­4/3,Soyuz TM­4,Soyuz TM­4,Soyuz TM­3,189.0,-0.6594656652216971,0,0.0,-0.6709541718905475,"Levchenko, Anatoli",0.9346488533855825,1940,1970,0.45712513956250383,1,0,1,0,Single,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,2.0,99.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
442,208,65,"Solovyev, Anatoly",Анатолий Яковлевич Соловьёв,male,-0.322259635441314,Russia,military,TsPK-6,-0.7850481399884857,1,1.4406753265135892,commander,1988,2,Soyuz TM­5,Mir EP,Soyuz TM­4,236.0,3.0039151952251673,0,0.0,4.242081474734858,"Solovyev, Anatoly",0.322259635441309,1940,1970,-1.288665673809659,1,0,1,1,Multiple,1,Long,Very_Long,Russia,0,0,0,1,1,27.0,1.0,0.0,216.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
443,208,65,"Solovyev, Anatoly",Анатолий Яковлевич Соловьёв,male,-0.322259635441314,Russia,military,TsPK-6,-0.7850481399884857,2,1.4406753265135892,commander,1990,6,Soyuz TM­9,Mir,Soyuz TM­9,4297.0,3.0039151952251673,2,10.78,4.242081474734858,"Solovyev, Anatoly",0.322259635441309,1940,1970,-1.288665673809659,1,0,1,1,Multiple,1,Long,Very_Long,Russia,0,0,0,1,1,27.0,1.0,0.0,216.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
